idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
59119;3.0;1.0;DE;2.0;6.0;5.0;4.0;0;6.0;3.0;16.0;6.0;7.0;8.0;5.0;7.0;1;0
59145;1.0;1.0;DE;3.0;8.0;3.0;5.0;1;4.0;4.0;46.0;5.0;8.0;10.0;4.0;4.0;1;1
59151;1.0;1.0;DE;3.0;2.0;1.0;5.0;0;6.0;3.0;29.0;5.0;8.0;5.0;7.0;5.0;1;1
59162;1.0;1.0;DE;3.0;2.0;1.0;5.0;1;5.0;4.0;64.0;2.0;4.0;4.0;2.0;2.0;1;1
59216;1.0;1.0;DE;3.0;4.0;4.0;5.0;1;6.0;3.0;35.0;3.0;4.0;4.0;0.0;0.0;1;1
59245;1.0;1.0;DE;7.0;10.0;2.0;4.0;0;1.0;3.0;66.0;6.0;5.0;7.0;5.0;5.0;1;1
59264;1.0;1.0;DE;7.0;8.0;2.0;5.0;1;1.0;3.0;69.0;6.0;6.0;5.0;4.0;5.0;1;1
59286;1.0;1.0;DE;3.0;6.0;2.0;5.0;1;1.0;2.0;70.0;7.0;7.0;8.0;6.0;6.0;1;1
59294;1.0;1.0;DE;7.0;8.0;2.0;5.0;1;1.0;3.0;65.0;7.0;8.0;7.0;6.0;6.0;1;1
59296;1.0;1.0;DE;3.0;6.0;4.0;5.0;1;1.0;4.0;58.0;7.0;8.0;6.0;4.0;3.0;1;1
59315;2.0;1.0;DE;6.0;7.0;1.0;5.0;0;6.0;4.0;27.0;8.0;9.0;5.0;4.0;5.0;1;1
59318;1.0;1.0;DE;7.0;7.0;3.0;5.0;0;1.0;1.0;66.0;8.0;7.0;8.0;7.0;6.0;1;1
59329;1.0;1.0;DE;6.0;4.0;1.0;5.0;0;6.0;1.0;30.0;7.0;8.0;6.0;7.0;7.0;1;1
59352;1.0;1.0;DE;3.0;7.0;2.0;5.0;1;1.0;4.0;69.0;8.0;8.0;8.0;6.0;6.0;1;1
59367;1.0;1.0;DE;5.0;4.0;2.0;5.0;0;6.0;2.0;25.0;0.0;4.0;4.0;0.0;0.0;1;1
59378;1.0;1.0;DE;3.0;3.0;1.0;5.0;0;6.0;1.0;31.0;5.0;8.0;8.0;5.0;5.0;1;1
59398;1.0;1.0;DE;7.0;6.0;2.0;5.0;0;1.0;2.0;68.0;6.0;8.0;7.0;5.0;5.0;1;1
59413;3.0;1.0;DE;2.0;4.0;2.0;4.0;0;6.0;1.0;21.0;7.0;8.0;9.0;8.0;9.0;1;0
59428;1.0;1.0;DE;5.0;8.0;5.0;5.0;1;1.0;4.0;41.0;8.0;7.0;8.0;7.0;7.0;1;1
59432;3.0;1.0;DE;5.0;9.0;2.0;5.0;1;1.0;4.0;26.0;1.0;3.0;3.0;1.0;1.0;1;0
59440;3.0;1.0;DE;3.0;3.0;2.0;5.0;0;4.0;2.0;59.0;1.0;6.0;8.0;1.0;1.0;1;0
