idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
59646;1.0;1.0;FR;1.0;6.0;2.0;1.0;1;1.0;4.0;76.0;5.0;5.0;10.0;5.0;5.0;1;1
59656;1.0;1.0;FR;3.0;7.0;2.0;5.0;0;1.0;4.0;76.0;5.0;4.0;7.0;6.0;5.0;1;1
59775;1.0;1.0;FR;7.0;10.0;4.0;5.0;0;1.0;2.0;40.0;6.0;6.0;4.0;3.0;2.0;1;1
59779;3.0;2.0;FR;5.0;6.0;2.0;5.0;1;1.0;5.0;51.0;2.0;2.0;5.0;0.0;0.0;0;0
59803;1.0;1.0;FR;6.0;1.0;1.0;5.0;1;6.0;1.0;23.0;5.0;6.0;6.0;3.0;2.0;1;1
59819;1.0;1.0;FR;7.0;10.0;3.0;5.0;1;4.0;3.0;46.0;5.0;9.0;7.0;3.0;3.0;1;1
59838;3.0;1.0;FR;3.0;1.0;3.0;5.0;1;6.0;3.0;25.0;5.0;8.0;8.0;4.0;3.0;1;0
59884;3.0;1.0;FR;7.0;10.0;3.0;5.0;1;1.0;4.0;55.0;4.0;8.0;7.0;5.0;6.0;1;0
59919;1.0;1.0;FR;5.0;7.0;2.0;5.0;1;1.0;4.0;57.0;6.0;10.0;10.0;6.0;7.0;1;1
59935;3.0;1.0;FR;3.0;2.0;1.0;5.0;1;6.0;3.0;63.0;4.0;4.0;6.0;4.0;4.0;1;0
59959;3.0;1.0;FR;6.0;5.0;2.0;5.0;0;6.0;2.0;20.0;2.0;8.0;4.0;1.0;2.0;1;0
59994;1.0;2.0;FR;1.0;2.0;1.0;1.0;0;6.0;3.0;72.0;10.0;5.0;5.0;5.0;5.0;0;1
60000;3.0;1.0;FR;4.0;5.0;2.0;5.0;0;1.0;4.0;62.0;8.0;8.0;8.0;6.0;6.0;1;0
60021;1.0;2.0;FR;3.0;5.0;3.0;5.0;0;1.0;4.0;66.0;3.0;4.0;8.0;3.0;3.0;0;1
60030;1.0;2.0;FR;3.0;9.0;2.0;5.0;0;2.0;4.0;36.0;7.0;7.0;7.0;4.0;4.0;0;1
60058;1.0;1.0;FR;3.0;7.0;3.0;5.0;1;6.0;5.0;46.0;5.0;7.0;7.0;2.0;2.0;1;1
60070;1.0;1.0;FR;7.0;7.0;3.0;5.0;0;2.0;3.0;47.0;2.0;5.0;7.0;2.0;3.0;1;1
60100;1.0;1.0;FR;5.0;10.0;2.0;5.0;0;1.0;3.0;66.0;6.0;9.0;9.0;7.0;8.0;1;1
60108;1.0;1.0;FR;4.0;4.0;2.0;5.0;1;6.0;4.0;52.0;3.0;0.0;0.0;0.0;0.0;1;1
60139;1.0;2.0;FR;5.0;6.0;3.0;5.0;0;2.0;2.0;36.0;5.0;5.0;5.0;4.0;3.0;0;1
60144;1.0;1.0;FR;7.0;9.0;2.0;5.0;0;1.0;3.0;76.0;2.0;6.0;7.0;4.0;4.0;1;1
60149;1.0;1.0;FR;7.0;9.0;2.0;5.0;0;1.0;3.0;67.0;10.0;8.0;2.0;4.0;2.0;1;1
60217;1.0;1.0;FR;7.0;7.0;2.0;5.0;1;1.0;3.0;71.0;6.0;5.0;6.0;4.0;3.0;1;1
60271;3.0;1.0;FR;4.0;5.0;4.0;5.0;1;6.0;3.0;19.0;6.0;7.0;6.0;5.0;5.0;1;0
60361;1.0;1.0;FR;7.0;10.0;4.0;5.0;0;1.0;2.0;39.0;5.0;7.0;7.0;4.0;4.0;1;1
60364;1.0;1.0;FR;5.0;8.0;2.0;5.0;0;2.0;2.0;45.0;5.0;8.0;7.0;4.0;5.0;1;1
60385;1.0;1.0;FR;7.0;7.0;4.0;5.0;1;2.0;4.0;39.0;4.0;5.0;5.0;3.0;2.0;1;1
60391;1.0;1.0;FR;4.0;5.0;1.0;5.0;1;6.0;3.0;41.0;6.0;8.0;8.0;4.0;8.0;1;1
60403;3.0;1.0;FR;4.0;8.0;4.0;4.0;0;2.0;5.0;42.0;10.0;10.0;10.0;10.0;10.0;1;0
60435;1.0;1.0;FR;3.0;6.0;3.0;5.0;0;1.0;4.0;44.0;3.0;2.0;8.0;2.0;2.0;1;1
60448;1.0;1.0;FR;4.0;8.0;2.0;5.0;1;1.0;2.0;71.0;0.0;0.0;6.0;3.0;0.0;1;1
60457;1.0;1.0;FR;4.0;7.0;2.0;5.0;0;1.0;4.0;69.0;3.0;6.0;6.0;2.0;2.0;1;1
60528;1.0;1.0;FR;7.0;7.0;4.0;5.0;0;1.0;2.0;67.0;6.0;5.0;2.0;3.0;3.0;1;1
