idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
70996;1.0;1.0;IT;2.0;2.0;1.0;5.0;0;6.0;4.0;67.0;3.0;5.0;6.0;2.0;1.0;1;1
71011;1.0;1.0;IT;2.0;4.0;3.0;3.0;1;1.0;4.0;51.0;3.0;5.0;6.0;3.0;3.0;1;1
71013;1.0;1.0;IT;7.0;5.0;1.0;5.0;1;4.0;3.0;56.0;3.0;3.0;6.0;4.0;4.0;1;1
71051;3.0;1.0;IT;7.0;8.0;2.0;5.0;1;1.0;1.0;58.0;2.0;2.0;0.0;0.0;0.0;1;0
71053;3.0;1.0;IT;4.0;8.0;2.0;5.0;1;1.0;3.0;81.0;7.0;10.0;10.0;8.0;6.0;1;0
71058;3.0;1.0;IT;7.0;5.0;1.0;5.0;1;6.0;4.0;66.0;1.0;4.0;7.0;0.0;0.0;1;0
71073;1.0;2.0;IT;4.0;5.0;4.0;5.0;1;6.0;3.0;24.0;1.0;3.0;5.0;0.0;0.0;0;1
71083;3.0;1.0;IT;3.0;5.0;1.0;5.0;0;4.0;4.0;55.0;3.0;5.0;7.0;4.0;2.0;1;0
71092;3.0;1.0;IT;4.0;5.0;1.0;5.0;1;6.0;3.0;46.0;0.0;0.0;0.0;0.0;0.0;1;0
71107;1.0;1.0;IT;2.0;1.0;2.0;3.0;0;6.0;3.0;29.0;2.0;6.0;4.0;2.0;2.0;1;1
71126;1.0;1.0;IT;4.0;5.0;1.0;5.0;1;6.0;3.0;32.0;0.0;6.0;6.0;3.0;3.0;1;1
71137;1.0;1.0;IT;4.0;5.0;4.0;5.0;0;6.0;4.0;22.0;0.0;5.0;3.0;4.0;0.0;1;1
71148;1.0;1.0;IT;4.0;7.0;2.0;4.0;0;1.0;4.0;57.0;7.0;8.0;7.0;8.0;8.0;1;1
71163;3.0;1.0;IT;2.0;5.0;4.0;5.0;0;6.0;4.0;16.0;1.0;1.0;3.0;1.0;1.0;1;0
71173;1.0;1.0;IT;3.0;6.0;3.0;3.0;1;1.0;4.0;56.0;1.0;3.0;5.0;0.0;0.0;1;1
71187;3.0;1.0;IT;1.0;3.0;6.0;2.0;1;1.0;4.0;64.0;7.0;7.0;8.0;8.0;1.0;1;0
71196;3.0;1.0;IT;4.0;4.0;2.0;5.0;1;3.0;3.0;45.0;3.0;1.0;7.0;3.0;3.0;1;0
71227;1.0;1.0;IT;4.0;5.0;2.0;5.0;1;1.0;4.0;45.0;6.0;8.0;7.0;5.0;5.0;1;1
71230;2.0;2.0;IT;3.0;6.0;1.0;2.0;1;2.0;3.0;37.0;6.0;6.0;6.0;7.0;6.0;0;1
71242;1.0;1.0;IT;5.0;5.0;2.0;5.0;0;1.0;5.0;61.0;8.0;8.0;8.0;6.0;6.0;1;1
71248;3.0;2.0;IT;6.0;2.0;2.0;4.0;0;1.0;3.0;35.0;3.0;3.0;6.0;1.0;1.0;0;0
71292;1.0;1.0;IT;7.0;5.0;2.0;4.0;1;1.0;3.0;57.0;6.0;8.0;8.0;5.0;5.0;1;1
71315;3.0;1.0;IT;2.0;1.0;1.0;5.0;1;6.0;4.0;47.0;2.0;2.0;2.0;2.0;2.0;1;0
71343;1.0;1.0;IT;4.0;7.0;2.0;5.0;0;1.0;4.0;46.0;7.0;3.0;9.0;5.0;2.0;1;1
71373;1.0;1.0;IT;2.0;5.0;2.0;5.0;1;5.0;3.0;60.0;2.0;4.0;6.0;2.0;2.0;1;1
71389;3.0;1.0;IT;4.0;2.0;4.0;5.0;1;1.0;3.0;50.0;4.0;5.0;5.0;5.0;5.0;1;0
71390;1.0;1.0;IT;2.0;1.0;1.0;5.0;1;4.0;4.0;67.0;3.0;9.0;8.0;8.0;7.0;1;1
71396;3.0;2.0;IT;6.0;6.0;2.0;5.0;0;6.0;3.0;25.0;6.0;7.0;7.0;4.0;4.0;0;0
71406;1.0;1.0;IT;2.0;5.0;2.0;2.0;0;1.0;4.0;62.0;5.0;3.0;6.0;2.0;1.0;1;1
71428;3.0;1.0;IT;3.0;5.0;2.0;1.0;1;1.0;5.0;75.0;0.0;0.0;8.0;0.0;0.0;1;0
71506;1.0;1.0;IT;3.0;4.0;1.0;5.0;0;6.0;4.0;33.0;4.0;8.0;7.0;5.0;5.0;1;1
71510;1.0;1.0;IT;2.0;5.0;1.0;1.0;1;5.0;3.0;75.0;4.0;8.0;9.0;2.0;3.0;1;1
