idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
79391;1.0;1.0;ES;2.0;9.0;5.0;5.0;0;6.0;4.0;42.0;6.0;8.0;10.0;5.0;5.0;1;1
79416;3.0;1.0;ES;2.0;3.0;1.0;3.0;1;6.0;1.0;55.0;6.0;6.0;7.0;4.0;4.0;1;0
79440;1.0;1.0;ES;1.0;3.0;2.0;1.0;0;1.0;4.0;67.0;2.0;4.0;5.0;0.0;0.0;1;1
79445;3.0;1.0;ES;1.0;5.0;2.0;1.0;1;1.0;4.0;71.0;5.0;5.0;10.0;4.0;4.0;1;0
79469;1.0;1.0;ES;3.0;5.0;4.0;5.0;0;6.0;4.0;19.0;5.0;3.0;1.0;0.0;0.0;1;1
79502;1.0;1.0;ES;7.0;6.0;1.0;5.0;1;6.0;4.0;71.0;6.0;6.0;6.0;5.0;6.0;1;1
79509;3.0;1.0;ES;3.0;10.0;1.0;5.0;0;6.0;4.0;58.0;7.0;8.0;8.0;6.0;5.0;1;0
79511;1.0;1.0;ES;7.0;7.0;3.0;5.0;0;4.0;3.0;62.0;1.0;0.0;1.0;1.0;1.0;1;1
79516;1.0;1.0;ES;7.0;10.0;2.0;5.0;0;6.0;3.0;28.0;3.0;3.0;7.0;1.0;0.0;1;1
79529;1.0;1.0;ES;2.0;9.0;2.0;4.0;0;1.0;3.0;89.0;0.0;7.0;10.0;4.0;5.0;1;1
79589;1.0;1.0;ES;1.0;6.0;2.0;5.0;0;6.0;2.0;16.0;7.0;8.0;6.0;3.0;3.0;1;1
79602;3.0;1.0;ES;1.0;2.0;2.0;5.0;0;6.0;4.0;39.0;0.0;0.0;0.0;0.0;1.0;1;0
79618;1.0;1.0;ES;5.0;5.0;4.0;5.0;1;1.0;1.0;54.0;5.0;1.0;6.0;0.0;0.0;1;1
79651;1.0;1.0;ES;5.0;4.0;4.0;3.0;0;1.0;4.0;54.0;5.0;5.0;6.0;3.0;3.0;1;1
79681;1.0;1.0;ES;3.0;5.0;4.0;5.0;0;6.0;2.0;23.0;6.0;7.0;8.0;4.0;4.0;1;1
79804;3.0;1.0;ES;1.0;7.0;4.0;1.0;0;4.0;3.0;77.0;0.0;0.0;10.0;0.0;0.0;1;0
79807;1.0;1.0;ES;6.0;9.0;1.0;5.0;0;6.0;3.0;55.0;6.0;7.0;8.0;5.0;5.0;1;1
79808;3.0;2.0;ES;1.0;10.0;5.0;5.0;0;6.0;3.0;25.0;3.0;3.0;4.0;2.0;2.0;0;0
79825;1.0;1.0;ES;1.0;8.0;3.0;5.0;0;6.0;3.0;17.0;8.0;5.0;9.0;4.0;4.0;1;1
79837;3.0;1.0;ES;1.0;5.0;10.0;5.0;1;6.0;4.0;54.0;3.0;8.0;8.0;3.0;3.0;1;0
79839;1.0;1.0;ES;5.0;6.0;2.0;1.0;1;1.0;1.0;66.0;3.0;5.0;9.0;5.0;5.0;1;1
79844;3.0;1.0;ES;1.0;2.0;2.0;1.0;0;1.0;4.0;76.0;5.0;7.0;9.0;1.0;2.0;1;0
79850;1.0;1.0;ES;7.0;10.0;3.0;5.0;1;1.0;3.0;41.0;6.0;7.0;9.0;2.0;1.0;1;1
79866;3.0;1.0;ES;3.0;9.0;6.0;5.0;1;6.0;3.0;35.0;7.0;10.0;10.0;3.0;3.0;1;0
79901;1.0;1.0;ES;6.0;6.0;4.0;5.0;1;6.0;4.0;25.0;5.0;5.0;5.0;4.0;4.0;1;1
79910;3.0;1.0;ES;2.0;5.0;2.0;5.0;0;1.0;4.0;58.0;1.0;1.0;5.0;0.0;0.0;1;0
79923;1.0;1.0;ES;1.0;2.0;2.0;1.0;1;1.0;5.0;80.0;6.0;5.0;9.0;6.0;6.0;1;1
79965;1.0;1.0;ES;2.0;4.0;3.0;5.0;0;1.0;4.0;55.0;7.0;7.0;9.0;5.0;3.0;1;1
79983;1.0;1.0;ES;6.0;6.0;4.0;5.0;1;1.0;3.0;42.0;6.0;6.0;8.0;5.0;5.0;1;1
80039;3.0;1.0;ES;2.0;2.0;1.0;5.0;1;6.0;3.0;47.0;3.0;5.0;2.0;1.0;0.0;1;0
80052;1.0;1.0;ES;3.0;9.0;4.0;5.0;0;6.0;2.0;25.0;6.0;8.0;8.0;6.0;6.0;1;1
80085;1.0;1.0;ES;4.0;6.0;2.0;5.0;1;6.0;1.0;29.0;5.0;2.0;3.0;2.0;4.0;1;1
80086;1.0;1.0;ES;7.0;5.0;3.0;5.0;1;1.0;4.0;42.0;5.0;5.0;5.0;3.0;3.0;1;1
80103;1.0;1.0;ES;4.0;4.0;2.0;5.0;0;1.0;4.0;58.0;5.0;5.0;8.0;5.0;5.0;1;1
80109;1.0;1.0;ES;7.0;5.0;3.0;4.0;1;1.0;4.0;52.0;6.0;6.0;6.0;4.0;4.0;1;1
80132;3.0;1.0;ES;7.0;9.0;4.0;5.0;1;1.0;4.0;55.0;4.0;4.0;7.0;3.0;3.0;1;0
80138;3.0;1.0;ES;3.0;2.0;2.0;5.0;0;1.0;4.0;61.0;5.0;5.0;5.0;3.0;3.0;1;0
80172;3.0;1.0;ES;7.0;5.0;2.0;4.0;0;6.0;1.0;21.0;3.0;8.0;6.0;2.0;1.0;1;0
80183;1.0;1.0;ES;6.0;5.0;2.0;5.0;0;4.0;3.0;54.0;6.0;5.0;7.0;1.0;1.0;1;1
80199;3.0;1.0;ES;2.0;5.0;2.0;5.0;1;1.0;1.0;64.0;7.0;1.0;7.0;2.0;1.0;1;0
80207;3.0;1.0;ES;6.0;9.0;1.0;5.0;1;6.0;1.0;39.0;6.0;6.0;3.0;3.0;3.0;1;0
80211;3.0;1.0;ES;1.0;4.0;1.0;1.0;0;1.0;4.0;85.0;4.0;7.0;10.0;1.0;0.0;1;0
80322;1.0;1.0;ES;6.0;8.0;2.0;5.0;0;1.0;3.0;79.0;5.0;8.0;8.0;4.0;6.0;1;1
80347;1.0;1.0;ES;5.0;7.0;3.0;5.0;0;3.0;4.0;45.0;10.0;3.0;6.0;1.0;1.0;1;1
80371;1.0;1.0;ES;1.0;4.0;2.0;5.0;1;4.0;3.0;56.0;8.0;5.0;8.0;6.0;6.0;1;1
80382;2.0;1.0;ES;6.0;9.0;3.0;5.0;0;1.0;3.0;65.0;7.0;7.0;8.0;6.0;5.0;1;1
80383;3.0;1.0;ES;4.0;2.0;1.0;5.0;0;5.0;4.0;61.0;6.0;10.0;10.0;0.0;0.0;1;0
80416;1.0;1.0;ES;2.0;6.0;2.0;5.0;0;4.0;4.0;46.0;3.0;6.0;7.0;4.0;3.0;1;1
80423;3.0;1.0;ES;5.0;5.0;4.0;5.0;0;1.0;3.0;45.0;6.0;8.0;8.0;6.0;5.0;1;0
80426;3.0;2.0;ES;2.0;5.0;7.0;5.0;0;6.0;4.0;25.0;3.0;3.0;6.0;2.0;1.0;0;0
80428;1.0;1.0;ES;7.0;5.0;4.0;5.0;1;1.0;2.0;51.0;5.0;2.0;7.0;2.0;4.0;1;1
80459;2.0;1.0;ES;3.0;5.0;4.0;5.0;0;6.0;3.0;25.0;1.0;6.0;8.0;1.0;1.0;1;1
